Shadow Length Shortest Path,Shadow Length Optimal Path
250.37670923951973,779.5160389697853
2052.688671864268,2211.4691595210097
691.2646050876392,1088.0805713439386
981.3489948445929,1067.9867447861964
0.0,0.0
111.77717806278413,111.77717806278413
645.3585226496147,645.3585226496147
194.0427868548699,194.0427868548699
119.70596811606686,348.4152765931173
315.0062064150701,315.0062064150701
881.885490386025,1446.6916073313723
132.04846556985268,513.1107707148856
21.085159506194515,31.824043611913808
37.19381419249305,37.19381419249305
328.49854852447794,599.3500166689463
361.1088339186118,419.35575431940225
115.70309487975834,867.3406266142774
209.12398438517363,3148.740572429149
1640.3651703369314,2530.525772858539
225.4981507468715,168.7206025029326
388.5921656438969,548.3047139547253
38.616220646871824,39.46757481293831
218.63499673473885,1093.15508826982
225.6347384119066,258.29659074427815
70.01824247608889,361.8364540547761
1901.9060193377265,1901.9060193377265
0.0,0.0
149.4193999709664,149.4193999709664
106.42551785662904,106.42551785662904
384.1948919640541,384.1948919640541
1291.9697688327701,1291.9697688327701
489.18920160187156,1313.7594483758417
207.1509107137772,229.5839917667114
448.9902274781336,828.2695073417794
277.32996705926536,323.2336587358572
233.73865272303254,655.3071075513259
0.0,0.0
161.5850427202635,161.5850427202635
515.0783399989762,1332.4549858624732
125.46463484816722,125.46463484816722
