Shortest Path,Optimal Shadow Path
8054.197271414455,8240.459831958851
8371.842476448614,8400.341539698664
7946.4693679216025,8062.402925188354
8314.223508267405,8340.130765584632
8903.756025087125,8903.756025087125
1523.7712331403366,1523.7712331403366
1878.5160747471332,1878.5160747471332
1967.2161813083367,1967.2161813083367
1903.3186105559546,1984.5206539827495
1842.1947158663427,1842.1947158663427
2032.3988662069,2548.8568825324896
2282.079855613251,2848.3226091952533
2851.8050886742194,2864.9457572592755
2549.178576452577,2549.178576452577
2064.5781013223445,2500.7713895418383
3653.372539213684,4194.289046573044
3797.1261963241186,5129.083315427288
3893.6939327752602,6786.739369774554
3281.7235715341803,3969.566551474741
3166.8234888171423,3241.809101176579
4870.273850260506,4929.737757259796
4770.489931669486,4770.732433003019
4694.612249622223,4934.664051912987
4030.8032132156623,4047.0684682703536
4467.7855697709865,4490.806290638366
5978.0919452287635,5978.0919452287635
5490.9765534135995,5490.9765534135995
5709.673063154811,5709.673063154811
5992.4513608738025,5992.4513608738025
5073.976077832863,5073.976077832863
6124.751348614239,6124.751348614239
6236.52961183178,6468.006419779296
6343.593909700553,6352.782395537067
6434.303401276851,6539.904785915505
6150.479233160957,6151.715212644663
7340.197310982154,7473.515172149318
7060.363825019902,7060.363825019902
7862.147997870853,7862.147997870853
7287.146692372374,7531.966844870008
7163.295694588841,7163.295694588841
